s,i,w,Tag,?*?,l,x,p,g,f,sent_id,Case,Number,Type,Polarity,Reflex,Polite,Evident,Aspect,Person,Voice,Mood,type,Tense,cat
176,11,yapacaklar,B-Pred,,yap,VERB,Verb,5,conj,bio_349,_,Plur,_,Pos,_,_,_,Imp,3,_,_,_,Fut,bio
176,12,.,PUNCT,,.,PUNCT,PUNCT,11,PUNCT,bio_349,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
177,1,Buna,B-Subj,,bu,PRON,Demons,2,nmod,bio_589,Dat,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
177,2,isyan,I-Subjj,,isyan,NOUN,Noun,4,nmod,bio_589,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
177,3,eden,I-Subjj,,et,VERB,Verb,2,compound:lvc,bio_589,_,_,_,Pos,_,_,_,_,_,_,_,_,Pres,bio
177,4,kız,I-Subjj,,kız,ADJ,NAdj,6,obj,bio_589,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
177,5,çocukları,I-Subjj,,çocuk,NOUN,Noun,4,compound,bio_589,Nom,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
177,6,şırfıntılık,B-AdverbialComp,,şırfıntı,NOUN,Noun,9,nmod,bio_589,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
177,7,;,PUNCT,,;,PUNCT,PUNCT,8,PUNCT,bio_589,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
177,8,erkek,B-Subj,,erkek,ADJ,NAdj,6,conj,bio_589,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
177,9,çocukları,I-Subjj,,çocuk,NOUN,Noun,13,nsubj,bio_589,Nom,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
177,10,da,O,,da,CCONJ,Conj,9,advmod:emph,bio_589,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
177,11,adam,B-AdverbialComp,,adam,NOUN,Noun,12,obj,bio_589,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
177,12,olmamakla,I-AdverbialComp,,ol,VERB,Verb,13,nmod,bio_589,Ins,_,_,Neg,_,_,_,_,_,_,_,_,_,bio
177,13,suçlanır,B-Pred,,suçla,VERB,Verb,0,root,bio_589,_,Sing,_,Pos,_,_,_,Hab,3,Pass,_,_,Pres,bio
177,14,ve,O,,ve,CCONJ,Conj,18,cc,bio_589,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
177,15,yerli,B-AdverbialComp,,yerli,ADJ,Adj,17,amod,bio_589,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
177,16,yersiz,I-AdverbialComp,,yersiz,ADJ,Adj,17,amod,bio_589,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
177,17,evden,I-AdverbialComp,,ev,NOUN,Noun,18,obl,bio_589,Abl,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
177,18,kovularak,I-AdverbialComp,,kov,VERB,Verb,13,conj,bio_589,_,_,_,Pos,_,_,_,_,_,Pass,Imp,_,_,bio
177,19,aile,B-AdverbialComp,,aile,NOUN,Noun,20,nmod:poss,bio_589,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
177,20,dayanışmasının,I-AdverbialComp,,dayanışma,NOUN,Noun,21,nmod:poss,bio_589,Gen,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
177,21,dışında,I-AdverbialComp,,dış,ADJ,NAdj,23,amod,bio_589,Loc,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
177,22,bırakılmakla,I-AdverbialComp,,bırak,VERB,Verb,23,nmod,bio_589,Ins,_,_,Pos,_,_,_,_,_,Pass,_,_,_,bio
177,23,korkutulurlardı,B-Pred,,korkut,VERB,Verb,13,conj,bio_589,_,Plur,_,Pos,_,_,Fh,Perf,3,Pass,_,_,Past,bio
177,24,.,PUNCT,,.,PUNCT,PUNCT,23,PUNCT,bio_589,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
178,1,Yan,B-Subj,,yan,ADJ,Adj,2,amod,bio_179,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
178,2,odadaki,I-Subjj,,oda,NOUN,Noun,3,amod,bio_179,Loc,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
178,3,biz,I-Subjj,,biz,PRON,Pers,17,nsubj,bio_179,Nom,Plur,_,_,_,_,_,_,1,_,_,_,_,bio
178,4,gazeteciler,I-Subjj,,gazeteci,NOUN,Noun,3,appos,bio_179,Nom,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
178,5,",",PUNCT,,",",PUNCT,PUNCT,17,PUNCT,bio_179,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
178,6,baş,B-AdverbialComp,,baş,NOUN,Noun,13,amod,bio_179,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
178,7,konuktan,I-AdverbialComp,,konuk,NOUN,Noun,17,obl,bio_179,Abl,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
178,8,ya,I-AdverbialComp,,ya,CCONJ,Conj,9,cc:preconj,bio_179,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
178,9,iki,I-AdverbialComp,,iki,NUM,ANum,15,nummod,bio_179,_,_,Card,_,_,_,_,_,_,_,_,Card,_,bio
178,10,ya,I-AdverbialComp,,ya,CCONJ,Conj,14,cc:preconj,bio_179,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
178,11,da,I-AdverbialComp,,da,CCONJ,Conj,10,fixed,bio_179,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
178,12,en,I-AdverbialComp,,en,ADV,Adverb,13,advmod,bio_179,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
178,13,fazla,I-AdverbialComp,,fazla,ADV,Adverb,14,advmod,bio_179,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
178,14,üç,I-AdverbialComp,,üç,NUM,ANum,9,conj,bio_179,_,_,Card,_,_,_,_,_,_,_,_,Card,_,bio
178,15,dakika,I-AdverbialComp,,dakika,NOUN,Noun,7,obl,bio_179,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
178,16,sonra,I-AdverbialComp,,sonra,ADP,PCAbl,7,case,bio_179,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
178,17,başladık,B-Pred,,başla,VERB,Verb,0,root,bio_179,_,Plur,_,Pos,_,_,Fh,Perf,1,_,_,_,Past,bio
178,18,yemeğimize,B-IndirectObj,,yemek,NOUN,Noun,17,obl,bio_179,Dat,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
178,19,.,PUNCT,,.,PUNCT,PUNCT,17,PUNCT,bio_179,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
181,1,Düşünün,B-Pred,,düşün,NOUN,Noun,0,root,bio_396,Gen,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
181,2,köylerde,B-IndirectObj,,köy,NOUN,Noun,10,obl,bio_396,Loc,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
181,3,çocuklar,B-Subj,,çocuk,NOUN,Noun,10,nsubj,bio_396,Nom,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
181,4,"""",PUNCT,,"""",PUNCT,PUNCT,7,PUNCT,bio_396,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
181,5,Ahmet,B-AdverbialComp,,Ahmet,PROPN,Prop,7,nsubj,bio_396,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
181,6,Amca,I-AdverbialComp,,amca,PROPN,Prop,5,conj,bio_396,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
181,7,geliyor,I-AdverbialComp,,gel,VERB,Verb,10,ccomp,bio_396,_,Sing,_,Pos,_,_,_,Prog,3,_,_,_,Pres,bio
181,8,"""",I-AdverbialComp,,"""",PUNCT,PUNCT,7,PUNCT,bio_396,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
181,9,diye,I-AdverbialComp,,diye,ADP,PCNom,7,case,bio_396,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
181,10,seviniyorlar,B-Pred,,sevin,VERB,Verb,1,conj,bio_396,_,Plur,_,Pos,_,_,_,Prog,3,_,_,_,Pres,bio
181,11,.,PUNCT,,.,PUNCT,PUNCT,10,PUNCT,bio_396,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
182,1,İş,B-Subj,,iş,NOUN,Noun,5,nsubj,bio_1325,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
182,2,tehlikeli,B-IndefiniteObj,,tehlike,NOUN,Noun,4,amod,bio_1325,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
182,3,bir,I-IndefiniteObj,,bir,DET,ANum,4,det,bio_1325,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
182,4,boyut,I-IndefiniteObj,,boyut,NOUN,Noun,5,obj,bio_1325,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
182,5,kazanıyordu,B-Pred,,kazan,VERB,Verb,0,root,bio_1325,_,Sing,_,Pos,_,_,Fh,Prog,3,_,_,_,Past,bio
182,6,.,PUNCT,,.,PUNCT,PUNCT,5,PUNCT,bio_1325,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
183,1,Asansörün,B-DefiniteObj,,asansör,NOUN,Noun,2,nmod:poss,bio_787,Gen,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
183,2,kapısını,I-DefiniteObj,,kapı,NOUN,Noun,3,obj,bio_787,Acc,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
183,3,açtılar,B-Pred,,aç,VERB,Verb,0,root,bio_787,_,Plur,_,Pos,_,_,Fh,Perf,3,_,_,_,Past,bio
183,4,ve,O,,ve,CCONJ,Conj,24,cc,bio_787,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
183,5,tam,B-AdverbialComp,,tam,ADV,Adverb,7,advmod,bio_787,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
183,6,o,I-AdverbialComp,,o,DET,Det,7,det,bio_787,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
183,7,sırada,I-AdverbialComp,,sıra,NOUN,Noun,24,obl,bio_787,Loc,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
183,8,asansörün,B-IndirectObj,,asansör,NOUN,Noun,9,nmod:poss,bio_787,Gen,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
183,9,içinden,I-IndirectObj,,iç,ADJ,NAdj,24,obl,bio_787,Abl,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
183,10,mi,I-IndirectObj,,mi,AUX,Ques,9,aux:q,bio_787,_,Sing,_,_,_,_,_,Imp,3,_,_,_,Pres,bio
183,11,",",I-IndirectObj,,",",PUNCT,PUNCT,12,PUNCT,bio_787,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
183,12,kıyısından,I-IndirectObj,,kıyı,NOUN,Noun,9,conj,bio_787,Abl,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
183,13,mı,I-IndirectObj,,mi,AUX,Ques,12,aux:q,bio_787,_,Sing,_,_,_,_,_,Imp,3,_,_,_,Pres,bio
183,14,",",I-IndirectObj,,",",PUNCT,PUNCT,17,PUNCT,bio_787,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
183,15,oralardan,I-IndirectObj,,ora,NOUN,Noun,17,obl,bio_787,Abl,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
183,16,bir,I-IndirectObj,,bir,DET,ANum,17,det,bio_787,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
183,17,yerden,I-IndirectObj,,yer,NOUN,Noun,9,conj,bio_787,Abl,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
183,18,",",PUNCT,,",",PUNCT,PUNCT,17,PUNCT,bio_787,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
183,19,başbakanın,B-IndirectObj,,başbakan,NOUN,Noun,20,nmod:poss,bio_787,Gen,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
183,20,ayaklarına,I-IndirectObj,,ayak,NOUN,Noun,24,obl,bio_787,Dat,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
183,21,doğru,I-IndirectObj,,doğru,ADP,PCDat,20,case,bio_787,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
183,22,bir,B-Subj,,bir,DET,ANum,23,det,bio_787,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
183,23,sıçan,I-Subjj,,sıçan,NOUN,Noun,24,nsubj,bio_787,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
183,24,fırladı,B-Pred,,fırla,VERB,Verb,3,conj,bio_787,_,Sing,_,Pos,_,_,Fh,Perf,3,_,_,_,Past,bio
183,25,.,PUNCT,,.,PUNCT,PUNCT,24,PUNCT,bio_787,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
184,1,Aziz,B-Subj,,aziz,NUM,NNum,12,nsubj,bio_1802,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
184,2,",",PUNCT,,",",PUNCT,PUNCT,12,PUNCT,bio_1802,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
184,3,deli,B-Pred,,del,ADV,NAdj,5,advmod,bio_1802,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
184,4,gibi,I-Pred,,gibi,ADP,PCNom,3,case,bio_1802,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
184,5,çalışkan,I-Pred,,çalışkan,ADJ,Adj,12,amod,bio_1802,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
184,6,",",I-Pred,,",",PUNCT,PUNCT,7,PUNCT,bio_1802,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
184,7,güçlü,I-Pred,,güç,ADJ,Adj,5,conj,bio_1802,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
184,8,kuvvetli,I-Pred,,kuvvet,NOUN,Noun,5,conj,bio_1802,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
184,9,",",I-Pred,,",",PUNCT,PUNCT,8,PUNCT,bio_1802,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
184,10,pes,I-Pred,,pes,NOUN,Noun,5,conj,bio_1802,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
184,11,etmeyen,I-Pred,,et,VERB,Verb,10,compound:lvc,bio_1802,_,_,_,Neg,_,_,_,_,_,_,_,_,Pres,bio
184,12,cinsten,I-Pred,,cins,NOUN,Noun,0,root,bio_1802,Abl,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
184,13,.,PUNCT,,.,PUNCT,PUNCT,12,PUNCT,bio_1802,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
191,1,Çocukluğumda,B-AdverbialComp,,çocukluk,NOUN,Noun,11,obl,bio_310,Loc,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
191,2,",",PUNCT,,",",PUNCT,PUNCT,11,PUNCT,bio_310,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
191,3,bakalım,B-AdverbialComp,,bak,VERB,Verb,8,discourse,bio_310,_,Plur,_,Pos,_,_,_,_,1,_,Opt,_,_,bio
191,4,hangisi,I-AdverbialComp,,hangi,NOUN,Noun,8,nsubj,bio_310,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
191,5,daha,I-AdverbialComp,,daha,ADV,Adverb,8,advmod,bio_310,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
191,6,önce,I-AdverbialComp,,önce,ADP,PCAbl,5,case,bio_310,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
191,7,ipten,I-AdverbialComp,,ip,NOUN,Noun,8,obl,bio_310,Abl,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
191,8,düşecek,I-AdverbialComp,,düş,VERB,Verb,9,nmod:poss,bio_310,_,_,_,Pos,_,_,_,Imp,_,_,_,_,Fut,bio
191,9,tedirginliği,I-AdverbialComp,,tedirgin,NOUN,Noun,10,nmod:poss,bio_310,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
191,10,içinde,I-AdverbialComp,,iç,ADJ,NAdj,11,obl,bio_310,Loc,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
191,11,izlerdim,B-Pred,,izle,VERB,Verb,0,root,bio_310,_,Sing,_,Pos,_,_,Fh,Hab,1,_,_,_,Pres,bio
191,12,bu,B-DefiniteObj,,bu,DET,Det,13,det,bio_310,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
191,13,cambazlıkları,I-DefiniteObj,,cambaz,NOUN,Noun,11,nsubj,bio_310,Nom,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
191,14,.,PUNCT,,.,PUNCT,PUNCT,11,PUNCT,bio_310,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
194,1,Akşam,B-AdverbialComp,,akşam,NOUN,Noun,4,obl,bio_1779,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
194,2,Jan,I-AdverbialComp,,Jan,PROPN,Prop,13,nsubj,bio_1779,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
194,3,Bey,I-AdverbialComp,,bey,NOUN,Noun,2,flat,bio_1779,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
194,4,uğradığında,I-AdverbialComp,,uğra,NOUN,Noun,13,advcl,bio_1779,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
194,5,bana,B-IndirectObj,,ben,PRON,Pers,13,obl,bio_1779,Dat,Sing,_,_,_,_,_,_,1,_,_,_,_,bio
194,6,",",PUNCT,,",",PUNCT,PUNCT,5,PUNCT,bio_1779,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
194,7,"""",PUNCT,,"""",PUNCT,PUNCT,8,PUNCT,bio_1779,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
194,8,Doktorla,B-IndefiniteObj,,doktor,NOUN,Noun,11,nmod,bio_1779,Ins,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
194,9,bayağı,I-IndefiniteObj,,bayağ,ADV,Noun,11,advmod,bio_1779,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
194,10,İngilizce,I-IndefiniteObj,,İngilizce,ADJ,NAdj,13,obj,bio_1779,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
194,11,konuştun,I-IndefiniteObj,,konuş,VERB,Verb,13,ccomp,bio_1779,_,Sing,_,Pos,_,_,Fh,Perf,2,_,_,_,Past,bio
194,12,"""",PUNCT,,"""",PUNCT,PUNCT,11,PUNCT,bio_1779,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
194,13,dedi,B-Pred,,de,VERB,Verb,0,root,bio_1779,_,Sing,_,Pos,_,_,Fh,Perf,3,_,_,_,Past,bio
194,14,.,PUNCT,,.,PUNCT,PUNCT,13,PUNCT,bio_1779,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
197,1,Toprağın,B-Subj,,toprak,NOUN,Noun,2,nsubj,bio_603,Gen,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
197,2,akması,I-Subjj,,ak,NOUN,Noun,4,csubj,bio_603,Nom,Sing,_,Pos,_,_,_,_,3,_,_,_,_,bio
197,3,saatlerce,B-AdverbialComp,,saat,ADV,Adverb,4,advmod,bio_603,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
197,4,sürdü,B-Pred,,sür,VERB,Verb,0,root,bio_603,_,Sing,_,Pos,_,_,Fh,Perf,3,_,_,_,Past,bio
197,5,.,PUNCT,,.,PUNCT,PUNCT,4,PUNCT,bio_603,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
203,1,Demek,O,,de,ADV,Adverb,8,advmod,bio_1721,Nom,_,_,Pos,_,_,_,_,_,_,_,_,_,bio
203,2,ki,O,,ki,CCONJ,Conj,1,compound,bio_1721,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
203,3,Bilgin,B-Subj,,bilgin,PROPN,Prop,4,nmod:poss,bio_1721,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
203,4,ailesinin,I-Subjj,,aile,NOUN,Noun,5,nmod:poss,bio_1721,Gen,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
203,5,tümüne,I-Subjj,,tüm,NOUN,Noun,6,obj,bio_1721,Dat,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
203,6,teşekkür,I-Subjj,,teşekkür,NOUN,Noun,8,csubj,bio_1721,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
203,7,etmem,I-Subjj,,et,VERB,Verb,6,compound:lvc,bio_1721,Nom,Sing,_,Pos,_,_,_,_,3,_,_,_,_,bio
203,8,gerekiyor,B-Pred,,gerek,VERB,Verb,0,root,bio_1721,_,Sing,_,Pos,_,_,_,Prog,3,_,_,_,Pres,bio
203,9,.,PUNCT,,.,PUNCT,PUNCT,8,PUNCT,bio_1721,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
204,1,İleri,B-AdverbialComp,,ileri,NOUN,Noun,3,amod,bio_1101,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
204,2,geri,I-AdverbialComp,,geri,ADJ,NAdj,1,compound,bio_1101,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
204,3,ritmi,B-IndefiniteObj,,ritim,NOUN,Noun,5,nsubj,bio_1101,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
204,4,hareketler,I-IndefiniteObj,,hareket,NOUN,Noun,5,obj,bio_1101,Nom,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
204,5,yapıyor,B-Pred,,yap,VERB,Verb,0,root,bio_1101,_,Sing,_,Pos,_,_,_,Prog,3,_,_,_,Pres,bio
204,6,.,PUNCT,,.,PUNCT,PUNCT,5,PUNCT,bio_1101,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
207,1,"""",PUNCT,,"""",PUNCT,PUNCT,2,PUNCT,bio_443,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
207,2,Önemli,B-Pred,,önem,NOUN,Noun,0,root,bio_443,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
207,3,ve,I-Pred,,ve,CCONJ,Conj,4,cc,bio_443,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
207,4,gizli,I-Pred,,gizli,ADJ,Adj,2,conj,bio_443,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
207,5,.,PUNCT,,.,PUNCT,PUNCT,4,PUNCT,bio_443,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
210,1,On,B-AdverbialComp,,on,NUM,NNum,2,nummod,bio_128,Nom,Sing,Card,_,_,_,_,_,3,_,_,Card,_,bio
210,2,gündür,I-AdverbialComp,,gün,ADV,Noun,5,advmod,bio_128,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
210,3,ev,B-Subj,,ev,NOUN,Noun,4,nmod:poss,bio_128,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
210,4,sahibi,I-Subjj,,sahip,NOUN,Noun,5,nsubj,bio_128,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
210,5,arıyor,B-Pred,,ara,VERB,Verb,0,root,bio_128,_,Sing,_,Pos,_,_,_,Prog,3,_,_,_,Pres,bio
210,6,.,PUNCT,,.,PUNCT,PUNCT,5,PUNCT,bio_128,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
212,1,Gitmem,B-DefiniteObj,,git,VERB,Verb,2,csubj,bio_648,Nom,Sing,_,Pos,_,_,_,_,3,_,_,_,_,bio
212,2,gerektiğini,I-DefiniteObj,,gerek,VERB,Verb,7,ccomp,bio_648,Acc,Sing,_,Pos,_,_,_,Perf,3,_,_,_,Past,bio
212,3,",",I-DefiniteObj,,",",PUNCT,PUNCT,6,PUNCT,bio_648,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
212,4,ama,I-DefiniteObj,,ama,CCONJ,Conj,6,cc,bio_648,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
212,5,kalmak,I-DefiniteObj,,kal,VERB,Verb,6,ccomp,bio_648,Nom,_,_,Pos,_,_,_,_,_,_,_,_,_,bio
212,6,istediğimi,I-DefiniteObj,,iste,VERB,Verb,2,conj,bio_648,Acc,Sing,_,Pos,_,_,_,Perf,3,_,_,_,Past,bio
212,7,biliyordu,B-Pred,,bil,VERB,Verb,0,root,bio_648,_,Sing,_,Pos,_,_,Fh,Prog,3,_,_,_,Past,bio
212,8,.,PUNCT,,.,PUNCT,PUNCT,7,PUNCT,bio_648,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
215,1,Onların,B-Subj,,o,PRON,Pers,3,nmod:poss,bio_8,Gen,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
215,2,da,I-Subjj,,da,CCONJ,Conj,1,advmod:emph,bio_8,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
215,3,şikâyetleri,I-Subjj,,şikâyet,NOUN,Noun,4,nsubj,bio_8,Acc,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
215,4,vardı,B-Pred,,var,VERB,Verb,0,root,bio_8,_,Sing,_,_,_,_,Fh,Perf,3,_,_,_,Past,bio
215,5,:,PUNCT,,:,PUNCT,PUNCT,4,PUNCT,bio_8,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
218,1,Dokuz,B-AdverbialComp,,dokuz,NUM,NNum,2,nummod,bio_755,Nom,Sing,Card,_,_,_,_,_,3,_,_,Card,_,bio
218,2,kişilik,I-AdverbialComp,,kişilik,NOUN,Noun,4,amod,bio_755,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
218,3,sevk,I-AdverbialComp,,sevk,NOUN,Noun,4,nmod:poss,bio_755,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
218,4,mahkumları,I-AdverbialComp,,mahkûm,NOUN,Noun,5,nmod:poss,bio_755,Nom,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
218,5,içinde,I-AdverbialComp,,iç,ADJ,NAdj,19,obl,bio_755,Loc,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
218,6,",",I-AdverbialComp,,",",PUNCT,PUNCT,19,PUNCT,bio_755,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
218,7,üç,I-AdverbialComp,,üç,NUM,ANum,8,nummod,bio_755,_,_,Card,_,_,_,_,_,_,_,_,Card,_,bio
218,8,kişi,I-AdverbialComp,,kişi,NOUN,Noun,19,nsubj,bio_755,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
218,9,defalarca,I-AdverbialComp,,defalarca,ADV,ANum,11,advmod,bio_755,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
218,10,sevk,I-AdverbialComp,,sevk,NOUN,Noun,11,obj,bio_755,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
218,11,geçirmiş,I-AdverbialComp,,geçir,VERB,Verb,12,ccomp,bio_755,_,Sing,_,Pos,_,_,Nfh,_,3,_,_,_,Past,bio
218,12,olduğu,I-AdverbialComp,,ol,VERB,Verb,19,advcl,bio_755,Nom,Sing,_,Pos,_,_,_,Perf,3,_,_,_,Past,bio
218,13,için,I-AdverbialComp,,için,ADP,PCNom,12,case,bio_755,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
218,14,",",PUNCT,,",",PUNCT,PUNCT,19,PUNCT,bio_755,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
218,15,kaza,B-DefiniteObj,,kaza,NOUN,Noun,16,nmod:poss,bio_755,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
218,16,cezaevlerinin,I-DefiniteObj,,cezaev,NOUN,Noun,17,nmod:poss,bio_755,Gen,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
